Case_id,Year_id,State_id,County_id,Hospital_id,Disease_id,Num_of_cases,Num_of_Deaths
211,6,50,7,127,44,66,17
212,6,50,7,127,143,85,4
213,6,50,7,127,165,34,6
214,6,50,7,127,220,103,6
215,6,50,7,127,99,5,0
216,6,50,7,128,132,134,6
217,6,50,7,128,187,134,6
218,6,50,7,128,121,134,6
219,6,50,7,128,44,123,5
220,6,50,7,128,143,171,1
221,6,50,7,128,165,52,6
222,6,50,7,128,220,134,6
223,6,50,7,128,99,12,6
224,6,50,8,129,132,134,6
225,6,50,8,129,187,134,6
226,6,50,8,129,121,134,6
227,6,50,8,129,44,59,12
228,6,50,8,129,143,59,3
229,6,50,8,129,165,4,0
230,6,50,8,129,220,134,6
231,6,50,8,129,99,134,6
232,6,50,9,130,132,1,0
233,6,50,9,130,187,134,6
234,6,50,9,130,121,134,6
235,6,50,9,130,44,29,10
236,6,50,9,130,143,74,4
237,6,50,9,130,165,20,6
238,6,50,9,130,220,134,6
239,6,50,9,130,99,4,0
240,6,50,9,131,132,134,6
241,6,50,9,131,187,134,6
242,6,50,9,131,121,134,6
243,6,50,9,131,44,84,15
244,6,50,9,131,143,131,3
245,6,50,9,131,165,92,5
246,6,50,9,131,220,134,6
247,6,50,9,131,99,22,6
248,6,50,10,132,132,134,6
249,6,50,10,132,187,134,6
250,6,50,10,132,121,134,6
251,6,50,10,132,44,88,15
252,6,50,10,132,143,115,2
253,6,50,10,132,165,52,3
254,6,50,10,132,220,12,6
255,6,50,10,132,99,134,6
256,6,50,10,133,132,134,6
257,6,50,10,133,187,134,6
258,6,50,10,133,121,134,6
259,6,50,10,133,44,12,0
260,6,50,10,133,143,8,6
261,6,50,10,133,165,1,0
262,6,50,10,133,220,134,6
263,6,50,10,133,99,134,6
264,6,50,10,134,132,134,6
265,6,50,10,134,187,134,6
266,6,50,10,134,121,20,13
267,6,50,10,134,44,264,14
268,6,50,10,134,143,276,3
269,6,50,10,134,165,75,4
270,6,50,10,134,220,623,2
271,6,50,10,134,99,27,6
272,6,50,10,135,132,134,6
273,6,50,10,135,187,134,6
274,6,50,10,135,121,134,6
275,6,50,10,135,44,3,0
276,6,50,10,135,143,2,0
277,6,50,10,135,165,134,6
278,6,50,10,135,220,449,2
279,6,50,10,135,99,119,6
280,6,50,10,136,132,134,6
281,6,50,10,136,187,134,6
282,6,50,10,136,121,5,0
283,6,50,10,136,44,182,12
284,6,50,10,136,143,146,2
285,6,50,10,136,165,144,3
286,6,50,10,136,220,4,0
287,6,50,10,136,99,40,6
288,6,50,10,137,132,134,6
289,6,50,10,137,187,134,6
290,6,50,10,137,121,134,6
291,6,50,10,137,44,2,0
292,6,50,10,137,143,5,0
293,6,50,10,137,165,134,6
294,6,50,10,137,220,134,6
295,6,50,10,137,99,134,6
296,6,50,10,138,132,134,6
297,6,50,10,138,187,3,0
298,6,50,10,138,121,53,8
299,6,50,10,138,44,427,13
300,6,50,10,138,143,507,3
301,6,50,10,138,165,297,5
302,6,50,10,138,220,790,1
303,6,50,10,138,99,85,6
304,6,50,10,139,132,134,6
305,6,50,10,139,187,134,6
306,6,50,10,139,121,134,6
307,6,50,10,139,44,15,6
308,6,50,10,139,143,23,6
309,6,50,10,139,165,134,6
310,6,50,10,139,220,134,6
311,6,50,10,139,99,134,6
312,6,50,11,140,132,134,6
313,6,50,11,140,187,134,6
314,6,50,11,140,121,134,6
315,6,50,11,140,44,1,0
316,6,50,11,140,143,3,0
317,6,50,11,140,165,134,6
318,6,50,11,140,220,134,6
319,6,50,11,140,99,134,6
320,6,50,12,141,132,134,6
321,6,50,12,141,187,134,6
322,6,50,12,141,121,134,6
323,6,50,12,141,44,134,6
324,6,50,12,141,143,8,6
325,6,50,12,141,165,134,6
326,6,50,12,141,220,134,6
327,6,50,12,141,99,134,6
328,6,50,12,142,132,1,0
329,6,50,12,142,187,2,0
330,6,50,12,142,121,134,6
331,6,50,12,142,44,48,18
332,6,50,12,142,143,79,6
333,6,50,12,142,165,17,6
334,6,50,12,142,220,134,6
335,6,50,12,142,99,22,6
336,6,50,12,143,132,134,6
337,6,50,12,143,187,134,6
338,6,50,12,143,121,134,6
339,6,50,12,143,44,32,18
340,6,50,12,143,143,28,10
341,6,50,12,143,165,19,13
342,6,50,12,143,220,134,6
343,6,50,12,143,99,1,0
344,6,50,12,144,132,1,0
345,6,50,12,144,187,134,6
346,6,50,12,144,121,27,7
347,6,50,12,144,44,117,14
348,6,50,12,144,143,93,4
349,6,50,12,144,165,101,6
350,6,50,12,144,220,184,5
351,6,50,12,144,99,60,3
352,6,50,13,145,132,134,6
353,6,50,13,145,187,134,6
354,6,50,13,145,121,16,7
355,6,50,13,145,44,102,12
356,6,50,13,145,143,157,2
357,6,50,13,145,165,53,4
358,6,50,13,145,220,134,6
359,6,50,13,145,99,134,6
360,6,50,13,146,132,134,6
361,6,50,13,146,187,134,6
362,6,50,13,146,121,7,6
363,6,50,13,146,44,44,6
364,6,50,13,146,143,100,2
365,6,50,13,146,165,19,5
366,6,50,13,146,220,134,6
367,6,50,13,146,99,134,6
368,6,50,14,147,132,134,6
369,6,50,14,147,187,134,6
370,6,50,14,147,121,134,6
371,6,50,14,147,44,16,14
372,6,50,14,147,143,25,5
373,6,50,14,147,165,26,2
374,6,50,14,147,220,134,6
375,6,50,14,147,99,134,6
376,6,50,15,148,132,134,6
377,6,50,15,148,187,134,6
378,6,50,15,148,121,134,6
379,6,50,15,148,44,62,17
380,6,50,15,148,143,62,3
381,6,50,15,148,165,134,6
382,6,50,15,148,220,744,1
383,6,50,15,148,99,24,6
384,6,50,15,149,132,134,6
385,6,50,15,149,187,2,0
386,6,50,15,149,121,58,7
387,6,50,15,149,44,270,7
388,6,50,15,149,143,191,4
389,6,50,15,149,165,150,3
390,6,50,15,149,220,500,2
391,6,50,15,149,99,49,6
392,6,50,15,150,132,134,6
393,6,50,15,150,187,2,0
394,6,50,15,150,121,134,6
395,6,50,15,150,44,52,14
396,6,50,15,150,143,72,4
397,6,50,15,150,165,14,6
398,6,50,15,150,220,134,6
399,6,50,15,150,99,2,0
400,6,50,15,151,132,134,6
401,6,50,15,151,187,134,6
402,6,50,15,151,121,134,6
403,6,50,15,151,44,4,0
404,6,50,15,151,143,23,6
405,6,50,15,151,165,134,6
406,6,50,15,151,220,134,6
407,6,50,15,151,99,134,6
408,6,50,15,152,132,134,6
409,6,50,15,152,187,3,0
410,6,50,15,152,121,43,13
411,6,50,15,152,44,118,16
412,6,50,15,152,143,82,2
413,6,50,15,152,165,21,6
414,6,50,15,152,220,134,6
415,6,50,15,152,99,134,6
416,6,50,15,153,132,134,6
417,6,50,15,153,187,134,6
418,6,50,15,153,121,134,6
419,6,50,15,153,44,31,8
420,6,50,15,153,143,4,0
421,6,50,15,153,165,1,0
422,6,50,15,153,220,134,6
423,6,50,15,153,99,134,6
424,6,50,15,154,132,134,6
425,6,50,15,154,187,134,6
426,6,50,15,154,121,49,12
427,6,50,15,154,44,293,8
428,6,50,15,154,143,256,3
429,6,50,15,154,165,186,3
430,6,50,15,154,220,134,6
431,6,50,15,154,99,8,6
432,6,50,15,155,132,134,6
433,6,50,15,155,187,134,6
434,6,50,15,155,121,134,6
435,6,50,15,155,44,38,10
436,6,50,15,155,143,36,4
437,6,50,15,155,165,2,0
438,6,50,15,155,220,134,6
439,6,50,15,155,99,134,6
440,6,50,15,156,132,134,6
441,6,50,15,156,187,134,6
442,6,50,15,156,121,57,7
443,6,50,15,156,44,214,11
444,6,50,15,156,143,163,4
445,6,50,15,156,165,51,2
446,6,50,15,156,220,286,3
447,6,50,15,156,99,17,6
448,6,50,15,157,132,134,6
449,6,50,15,157,187,134,6
450,6,50,15,157,121,134,6
451,6,50,15,157,44,134,6
452,6,50,15,157,143,134,6
453,6,50,15,157,165,134,6
454,6,50,15,157,220,134,6
455,6,50,15,157,99,134,6
456,6,50,16,158,132,134,6
457,6,50,16,158,187,134,6
458,6,50,16,158,121,134,6
459,6,50,16,158,44,13,0
460,6,50,16,158,143,9,6
461,6,50,16,158,165,134,6
462,6,50,16,158,220,134,6
463,6,50,16,158,99,134,6
464,6,50,16,159,132,134,6
465,6,50,16,159,187,134,6
466,6,50,16,159,121,134,6
467,6,50,16,159,44,10,0
468,6,50,16,159,143,7,6
469,6,50,16,159,165,134,6
470,6,50,16,159,220,134,6
471,6,50,16,159,99,134,6
472,6,50,16,160,132,134,6
473,6,50,16,160,187,134,6
474,6,50,16,160,121,134,6
475,6,50,16,160,44,99,14
476,6,50,16,160,143,130,3
477,6,50,16,160,165,77,4
478,6,50,16,160,220,134,6
479,6,50,16,160,99,4,0
480,6,50,17,161,132,134,6
481,6,50,17,161,187,134,6
482,6,50,17,161,121,134,6
483,6,50,17,161,44,30,24
484,6,50,17,161,143,43,5
485,6,50,17,161,165,23,6
486,6,50,17,161,220,134,6
487,6,50,17,161,99,134,6
488,6,50,17,162,132,134,6
489,6,50,17,162,187,134,6
490,6,50,17,162,121,134,6
491,6,50,17,162,44,64,11
492,6,50,17,162,143,65,7
493,6,50,17,162,165,34,2
494,6,50,17,162,220,134,6
495,6,50,17,162,99,134,6
496,6,50,18,163,132,134,6
497,6,50,18,163,187,134,6
498,6,50,18,163,121,134,6
499,6,50,18,163,44,18,8
500,6,50,18,163,143,19,6
501,6,50,18,163,165,13,0
502,6,50,18,163,220,134,6
503,6,50,18,163,99,134,6
504,6,50,19,164,132,134,6
505,6,50,19,164,187,134,6
506,6,50,19,164,121,8,7
507,6,50,19,164,44,76,9
508,6,50,19,164,143,125,2
509,6,50,19,164,165,39,2
510,6,50,19,164,220,134,6
511,6,50,19,164,99,1,0
512,6,50,19,165,132,134,6
513,6,50,19,165,187,134,6
514,6,50,19,165,121,38,8
515,6,50,19,165,44,314,11
516,6,50,19,165,143,336,4
517,6,50,19,165,165,116,3
518,6,50,19,165,220,304,1
519,6,50,19,165,99,18,6
520,6,50,19,166,132,134,6
521,6,50,19,166,187,134,6
522,6,50,19,166,121,134,6
523,6,50,19,166,44,17,6
524,6,50,19,166,143,40,6
525,6,50,19,166,165,4,0
526,6,50,19,166,220,134,6
527,6,50,19,166,99,134,6
528,6,50,19,167,132,134,6
529,6,50,19,167,187,134,6
530,6,50,19,167,121,20,10
531,6,50,19,167,44,196,8
532,6,50,19,167,143,225,2
533,6,50,19,167,165,69,3
534,6,50,19,167,220,124,3
535,6,50,19,167,99,27,6
536,6,50,19,168,132,134,6
537,6,50,19,168,187,134,6
538,6,50,19,168,121,78,6
539,6,50,19,168,44,129,9
540,6,50,19,168,143,147,3
541,6,50,19,168,165,45,4
542,6,50,19,168,220,118,2
543,6,50,19,168,99,6,6
544,6,50,19,169,132,134,6
545,6,50,19,169,187,134,6
546,6,50,19,169,121,27,9
547,6,50,19,169,44,224,11
548,6,50,19,169,143,203,2
549,6,50,19,169,165,39,4
550,6,50,19,169,220,134,6
551,6,50,19,169,99,1,0
552,6,50,19,170,132,134,6
553,6,50,19,170,187,134,6
554,6,50,19,170,121,134,6
555,6,50,19,170,44,134,6
556,6,50,19,170,143,134,6
557,6,50,19,170,165,134,6
558,6,50,19,170,220,134,6
559,6,50,19,170,99,134,6
560,6,50,19,171,132,11,6
561,6,50,19,171,187,24,6
562,6,50,19,171,121,451,3
563,6,50,19,171,44,523,9
564,6,50,19,171,143,476,3
565,6,50,19,171,165,235,2
566,6,50,19,171,220,1145,2
567,6,50,19,171,99,89,6
568,6,50,19,172,132,134,6
569,6,50,19,172,187,134,6
570,6,50,19,172,121,68,9
571,6,50,19,172,44,364,11
572,6,50,19,172,143,266,2
573,6,50,19,172,165,68,3
574,6,50,19,172,220,319,1
575,6,50,19,172,99,26,6
576,6,50,19,173,132,134,6
577,6,50,19,173,187,134,6
578,6,50,19,173,121,17,6
579,6,50,19,173,44,106,8
580,6,50,19,173,143,151,2
581,6,50,19,173,165,61,7
582,6,50,19,173,220,358,3
583,6,50,19,173,99,57,1
584,6,50,19,174,132,134,6
585,6,50,19,174,187,3,0
586,6,50,19,174,121,49,7
587,6,50,19,174,44,229,11
588,6,50,19,174,143,215,3
589,6,50,19,174,165,72,2
590,6,50,19,174,220,134,6
591,6,50,19,174,99,30,6
592,6,50,19,175,132,7,6
593,6,50,19,175,187,6,6
594,6,50,19,175,121,73,6
595,6,50,19,175,44,11,11
596,6,50,19,175,143,13,5
597,6,50,19,175,165,1,0
598,6,50,19,175,220,134,6
599,6,50,19,175,99,134,6
600,6,50,19,176,132,134,6
601,6,50,19,176,187,134,6
602,6,50,19,176,121,134,6
603,6,50,19,176,44,20,12
604,6,50,19,176,143,22,4
605,6,50,19,176,165,12,6
606,6,50,19,176,220,134,6
607,6,50,19,176,99,134,6
608,6,50,19,177,132,134,6
609,6,50,19,177,187,134,6
610,6,50,19,177,121,134,6
611,6,50,19,177,44,47,11
612,6,50,19,177,143,51,3
613,6,50,19,177,165,34,4
614,6,50,19,177,220,134,6
615,6,50,19,177,99,134,6
616,6,50,19,178,132,134,6
617,6,50,19,178,187,134,6
618,6,50,19,178,121,134,6
619,6,50,19,178,44,18,10
620,6,50,19,178,143,38,6
621,6,50,19,178,165,5,0
622,6,50,19,178,220,134,6
623,6,50,19,178,99,134,6
624,6,50,19,179,132,134,6
625,6,50,19,179,187,134,6
626,6,50,19,179,121,134,6
627,6,50,19,179,44,134,6
628,6,50,19,179,143,1,0
629,6,50,19,179,165,134,6
630,6,50,19,179,220,134,6
631,6,50,19,179,99,134,6
632,6,50,19,180,132,134,6
633,6,50,19,180,187,6,6
634,6,50,19,180,121,65,9
635,6,50,19,180,44,272,9
636,6,50,19,180,143,262,3
637,6,50,19,180,165,166,4
638,6,50,19,180,220,459,1
639,6,50,19,180,99,13,6
640,6,50,19,181,132,134,6
641,6,50,19,181,187,134,6
642,6,50,19,181,121,134,6
643,6,50,19,181,44,42,6
644,6,50,19,181,143,42,4
645,6,50,19,181,165,4,0
646,6,50,19,181,220,134,6
647,6,50,19,181,99,134,6
648,6,50,19,182,132,134,6
649,6,50,19,182,187,134,6
650,6,50,19,182,121,134,6
651,6,50,19,182,44,34,12
652,6,50,19,182,143,34,3
653,6,50,19,182,165,13,6
654,6,50,19,182,220,134,6
655,6,50,19,182,99,1,0
656,6,50,19,183,132,134,6
657,6,50,19,183,187,134,6
658,6,50,19,183,121,134,6
659,6,50,19,183,44,134,6
660,6,50,19,183,143,134,6
661,6,50,19,183,165,134,6
662,6,50,19,183,220,134,6
663,6,50,19,183,99,134,6
664,6,50,19,184,132,134,6
665,6,50,19,184,187,134,6
666,6,50,19,184,121,134,6
667,6,50,19,184,44,134,6
668,6,50,19,184,143,134,6
669,6,50,19,184,165,134,6
670,6,50,19,184,220,134,6
671,6,50,19,184,99,134,6
672,6,50,19,185,132,134,6
673,6,50,19,185,187,2,0
674,6,50,19,185,121,39,6
675,6,50,19,185,44,273,5
676,6,50,19,185,143,192,2
677,6,50,19,185,165,74,2
678,6,50,19,185,220,165,1
679,6,50,19,185,99,23,6
680,6,50,19,186,132,1,0
681,6,50,19,186,187,3,0
682,6,50,19,186,121,109,7
683,6,50,19,186,44,252,10
684,6,50,19,186,143,191,3
685,6,50,19,186,165,93,5
686,6,50,19,186,220,634,2
687,6,50,19,186,99,25,6
688,6,50,19,187,132,134,6
689,6,50,19,187,187,1,0
690,6,50,19,187,121,18,4
691,6,50,19,187,44,174,8
692,6,50,19,187,143,264,3
693,6,50,19,187,165,90,2
694,6,50,19,187,220,645,2
695,6,50,19,187,99,27,6
696,6,50,19,188,132,134,6
697,6,50,19,188,187,5,0
698,6,50,19,188,121,44,12
699,6,50,19,188,44,231,10
700,6,50,19,188,143,187,2
701,6,50,19,188,165,99,4
702,6,50,19,188,220,687,2
703,6,50,19,188,99,2,0
704,6,50,19,189,132,134,6
705,6,50,19,189,187,134,6
706,6,50,19,189,121,134,6
707,6,50,19,189,44,56,9
708,6,50,19,189,143,42,5
709,6,50,19,189,165,6,6
710,6,50,19,189,220,134,6
711,6,50,19,189,99,134,6
712,6,50,19,190,132,134,6
713,6,50,19,190,187,134,6
714,6,50,19,190,121,134,6
715,6,50,19,190,44,134,6
716,6,50,19,190,143,134,6
717,6,50,19,190,165,134,6
718,6,50,19,190,220,134,6
719,6,50,19,190,99,134,6
720,6,50,19,191,132,134,6
721,6,50,19,191,187,134,6
722,6,50,19,191,121,46,10
723,6,50,19,191,44,190,11
724,6,50,19,191,143,161,3
725,6,50,19,191,165,103,1
726,6,50,19,191,220,1,0
727,6,50,19,191,99,10,6
728,6,50,19,192,132,134,6
729,6,50,19,192,187,134,6
730,6,50,19,192,121,4,0
731,6,50,19,192,44,34,9
732,6,50,19,192,143,47,1
733,6,50,19,192,165,6,6
734,6,50,19,192,220,134,6
735,6,50,19,192,99,134,6
736,6,50,19,193,132,134,6
737,6,50,19,193,187,1,0
738,6,50,19,193,121,18,6
739,6,50,19,193,44,183,8
740,6,50,19,193,143,234,1
741,6,50,19,193,165,89,3
742,6,50,19,193,220,134,6
743,6,50,19,193,99,2,0
744,6,50,19,194,132,2,0
745,6,50,19,194,187,7,6
746,6,50,19,194,121,159,6
747,6,50,19,194,44,369,11
748,6,50,19,194,143,368,1
749,6,50,19,194,165,183,1
750,6,50,19,194,220,360,2
751,6,50,19,194,99,23,6
752,6,50,19,195,132,134,6
753,6,50,19,195,187,2,0
754,6,50,19,195,121,134,6
755,6,50,19,195,44,239,7
756,6,50,19,195,143,251,1
757,6,50,19,195,165,78,3
758,6,50,19,195,220,134,6
759,6,50,19,195,99,66,6
760,6,50,19,196,132,1,0
761,6,50,19,196,187,5,0
762,6,50,19,196,121,134,6
763,6,50,19,196,44,243,8
764,6,50,19,196,143,304,2
765,6,50,19,196,165,85,4
766,6,50,19,196,220,134,6
767,6,50,19,196,99,38,6
768,6,50,19,197,132,134,6
769,6,50,19,197,187,8,6
770,6,50,19,197,121,134,6
771,6,50,19,197,44,258,7
772,6,50,19,197,143,302,2
773,6,50,19,197,165,80,2
774,6,50,19,197,220,134,6
775,6,50,19,197,99,63,6
776,6,50,19,198,132,7,0
777,6,50,19,198,187,4,0
778,6,50,19,198,121,134,6
779,6,50,19,198,44,250,8
780,6,50,19,198,143,226,3
781,6,50,19,198,165,135,4
782,6,50,19,198,220,1,0
783,6,50,19,198,99,27,6
784,6,50,19,199,132,134,6
785,6,50,19,199,187,14,6
786,6,50,19,199,121,301,7
787,6,50,19,199,44,378,11
788,6,50,19,199,143,256,2
789,6,50,19,199,165,85,3
790,6,50,19,199,220,819,1
791,6,50,19,199,99,31,6
792,6,50,19,200,132,134,6
793,6,50,19,200,187,1,0
794,6,50,19,200,121,134,6
795,6,50,19,200,44,272,6
796,6,50,19,200,143,313,1
797,6,50,19,200,165,56,2
798,6,50,19,200,220,134,6
799,6,50,19,200,99,13,6
800,6,50,19,201,132,134,6
801,6,50,19,201,187,5,0
802,6,50,19,201,121,82,3
803,6,50,19,201,44,320,8
804,6,50,19,201,143,288,2
805,6,50,19,201,165,164,1
806,6,50,19,201,220,134,6
807,6,50,19,201,99,128,6
808,6,50,19,202,132,134,6
809,6,50,19,202,187,2,0
810,6,50,19,202,121,37,9
811,6,50,19,202,44,237,11
812,6,50,19,202,143,199,3
813,6,50,19,202,165,97,6
814,6,50,19,202,220,286,2
815,6,50,19,202,99,18,6
816,6,50,19,203,132,134,6
817,6,50,19,203,187,134,6
818,6,50,19,203,121,19,11
819,6,50,19,203,44,139,12
820,6,50,19,203,143,124,3
821,6,50,19,203,165,66,7
822,6,50,19,203,220,211,2
823,6,50,19,203,99,25,6
824,6,50,19,204,132,1,0
825,6,50,19,204,187,134,6
826,6,50,19,204,121,8,6
827,6,50,19,204,44,101,10
828,6,50,19,204,143,133,1
829,6,50,19,204,165,58,9
830,6,50,19,204,220,134,6
831,6,50,19,204,99,7,6
832,6,50,19,205,132,134,6
833,6,50,19,205,187,134,6
834,6,50,19,205,121,20,8
835,6,50,19,205,44,305,12
836,6,50,19,205,143,279,1
837,6,50,19,205,165,146,3
838,6,50,19,205,220,505,1
839,6,50,19,205,99,52,6
840,6,50,19,206,132,134,6
841,6,50,19,206,187,2,0
842,6,50,19,206,121,162,7
843,6,50,19,206,44,443,9
844,6,50,19,206,143,408,2
845,6,50,19,206,165,170,2
846,6,50,19,206,220,722,1
847,6,50,19,206,99,86,6
848,6,50,19,207,132,134,6
849,6,50,19,207,187,134,6
850,6,50,19,207,121,134,6
851,6,50,19,207,44,49,8
852,6,50,19,207,143,55,6
853,6,50,19,207,165,15,4
854,6,50,19,207,220,134,6
855,6,50,19,207,99,134,6
856,6,50,19,208,132,1,0
857,6,50,19,208,187,6,6
858,6,50,19,208,121,203,8
859,6,50,19,208,44,344,13
860,6,50,19,208,143,275,2
861,6,50,19,208,165,34,4
862,6,50,19,208,220,297,2
863,6,50,19,208,99,16,6
864,6,50,19,209,132,134,6
865,6,50,19,209,187,134,6
866,6,50,19,209,121,134,6
867,6,50,19,209,44,47,7
868,6,50,19,209,143,67,1
